Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,move_time_s,cluster,Tiempo_Optimo,Hora_Minutos,Periodo_Dia,Total_Vehiculos_lag1,Ocupacion_lag1,Media_Movil_3ciclos,Tendencia_Vehiculos,Capacidad_Teorica,Saturacion_Actual
5,3.01,12.18,1900-01-01 08:12:49,08:13:22,2,1,33,1,20,492,1,2.0,4.78,4.666666666666667,3.0,10.963455149501662,0.456060606060606
8,3.91,19.59,1900-01-01 08:13:00,08:13:33,3,1,33,0,35,493,1,5.0,12.18,5.0,3.0,8.439897698209718,0.947878787878788
6,4.21,16.97,1900-01-01 08:13:09,08:13:42,4,1,33,0,35,493,1,8.0,19.59,6.333333333333333,-2.0,7.838479809976247,0.7654545454545454
8,2.54,19.66,1900-01-01 08:14:12,08:14:45,1,1,33,0,35,494,1,6.0,16.97,7.333333333333333,2.0,12.992125984251969,0.6157575757575757
4,3.32,9.09,1900-01-01 08:14:23,08:14:56,5,1,33,1,20,494,1,8.0,19.66,6.0,-4.0,9.93975903614458,0.4024242424242424
4,2.76,10.05,1900-01-01 08:15:21,08:15:54,2,1,33,1,20,495,1,4.0,9.09,5.333333333333333,0.0,11.956521739130435,0.33454545454545453
5,2.7,11.76,1900-01-01 08:15:32,08:16:05,3,1,33,1,20,495,1,4.0,10.05,4.333333333333333,1.0,12.222222222222221,0.4090909090909091
8,2.36,22.2,1900-01-01 08:15:41,08:16:14,4,1,33,0,35,495,1,5.0,11.76,5.666666666666667,3.0,13.983050847457628,0.572121212121212
3,1.75,4.34,1900-01-01 08:16:44,08:17:17,1,1,33,1,20,496,1,8.0,22.2,5.333333333333333,-5.0,18.857142857142858,0.1590909090909091
7,4.46,17.49,1900-01-01 08:16:55,08:17:28,5,1,33,0,35,496,1,3.0,4.34,6.0,4.0,7.399103139013453,0.946060606060606
9,2.48,21.26,1900-01-01 08:17:53,08:18:26,2,1,33,0,35,497,1,7.0,17.49,6.333333333333333,2.0,13.306451612903226,0.6763636363636364
2,1.44,5.6,1900-01-01 08:18:04,08:18:37,3,1,33,1,20,498,1,9.0,21.26,6.0,-7.0,22.916666666666668,0.08727272727272727
9,2.94,20.96,1900-01-01 08:18:13,08:18:46,4,1,33,0,35,498,1,2.0,5.6,6.666666666666667,7.0,11.224489795918368,0.8018181818181818
5,2.44,6.28,1900-01-01 08:19:16,08:19:49,1,1,33,1,20,499,1,9.0,20.96,5.333333333333333,-4.0,13.524590163934427,0.3696969696969697
7,3.6,16.66,1900-01-01 08:19:27,08:20:00,5,1,33,0,35,499,1,5.0,6.28,7.0,2.0,9.166666666666666,0.7636363636363637
2,1.84,5.21,1900-01-01 08:20:25,08:20:58,2,1,33,1,20,500,1,7.0,16.66,4.666666666666667,-5.0,17.934782608695652,0.11151515151515151
6,4.0,16.41,1900-01-01 08:20:36,08:21:09,3,1,33,0,35,500,1,2.0,5.21,5.0,4.0,8.25,0.7272727272727273
4,2.66,9.95,1900-01-01 08:20:45,08:21:18,4,1,33,1,20,500,1,6.0,16.41,4.0,-2.0,12.406015037593985,0.32242424242424245
9,2.94,14.73,1900-01-01 08:21:48,08:22:21,1,1,33,0,35,501,1,4.0,9.95,6.333333333333333,5.0,11.224489795918368,0.8018181818181818
3,4.17,3.47,1900-01-01 08:21:59,08:22:32,5,1,33,1,20,501,1,9.0,14.73,5.333333333333333,-6.0,7.913669064748202,0.3790909090909091
7,1.97,16.98,1900-01-01 08:22:57,08:23:30,2,1,33,0,35,502,1,3.0,3.47,6.333333333333333,4.0,16.751269035532996,0.41787878787878785
8,3.18,21.29,1900-01-01 08:23:08,08:23:41,3,1,33,0,35,503,1,7.0,16.98,6.0,1.0,10.377358490566037,0.770909090909091
6,1.57,14.83,1900-01-01 08:23:17,08:23:50,4,1,33,0,35,503,1,8.0,21.29,7.0,-2.0,21.019108280254777,0.28545454545454546
2,5.08,5.24,1900-01-01 08:24:20,08:24:53,1,1,33,1,20,504,1,6.0,14.83,5.333333333333333,-4.0,6.496062992125984,0.30787878787878786
2,4.0,2.16,1900-01-01 08:24:31,08:25:04,5,1,33,1,20,504,1,2.0,5.24,3.3333333333333335,0.0,8.25,0.24242424242424243
8,3.27,19.83,1900-01-01 08:25:29,08:26:02,2,1,33,0,35,505,1,2.0,2.16,4.0,6.0,10.091743119266056,0.7927272727272726
6,4.09,15.37,1900-01-01 08:25:40,08:26:13,3,1,33,0,35,505,1,8.0,19.83,5.333333333333333,-2.0,8.068459657701712,0.7436363636363635
2,1.9,5.4,1900-01-01 08:25:49,08:26:22,4,1,33,1,20,505,1,6.0,15.37,5.333333333333333,-4.0,17.36842105263158,0.11515151515151516
4,4.03,6.22,1900-01-01 08:26:52,08:27:25,1,1,33,1,20,506,1,2.0,5.4,4.0,2.0,8.188585607940446,0.4884848484848485
5,3.81,5.07,1900-01-01 08:27:03,08:27:36,5,1,33,1,20,507,1,4.0,6.22,3.6666666666666665,1.0,8.661417322834646,0.5772727272727273
4,2.78,3.46,1900-01-01 08:28:01,08:28:34,2,1,33,1,20,508,1,5.0,5.07,4.333333333333333,-1.0,11.870503597122303,0.3369696969696969
6,5.33,9.12,1900-01-01 08:28:12,08:28:45,3,1,33,1,20,508,1,4.0,3.46,5.0,2.0,6.191369606003752,0.9690909090909091
6,1.66,14.43,1900-01-01 08:28:21,08:28:54,4,1,33,0,35,508,1,6.0,9.12,5.333333333333333,0.0,19.87951807228916,0.30181818181818176
9,2.24,14.32,1900-01-01 08:29:24,08:29:57,1,1,33,0,35,509,1,6.0,14.43,7.0,3.0,14.732142857142856,0.610909090909091
6,1.78,7.8,1900-01-01 08:29:35,08:30:08,5,1,33,1,20,509,1,9.0,14.32,7.0,-3.0,18.53932584269663,0.3236363636363636
7,4.5,4.92,1900-01-01 08:30:33,08:31:06,2,1,33,1,20,510,1,6.0,7.8,7.333333333333333,1.0,7.333333333333333,0.9545454545454546
5,2.06,7.55,1900-01-01 08:30:44,08:31:17,3,1,33,1,20,510,1,7.0,4.92,6.0,-2.0,16.019417475728154,0.31212121212121213
5,1.29,5.66,1900-01-01 08:30:53,08:31:26,4,1,33,1,20,510,1,5.0,7.55,5.666666666666667,0.0,25.58139534883721,0.19545454545454546
8,1.63,12.86,1900-01-01 08:31:56,08:32:29,1,1,33,0,35,511,1,5.0,5.66,6.0,3.0,20.245398773006137,0.3951515151515151
4,6.92,2.94,1900-01-01 08:32:07,08:32:40,5,1,33,2,27,512,1,8.0,12.86,5.666666666666667,-4.0,4.76878612716763,0.8387878787878789
2,4.33,2.88,1900-01-01 08:33:05,08:33:38,2,1,33,1,20,513,1,4.0,2.94,4.666666666666667,-2.0,7.621247113163972,0.26242424242424245
4,7.92,3.47,1900-01-01 08:33:16,08:33:49,3,1,33,2,30,513,1,2.0,2.88,3.3333333333333335,2.0,4.166666666666667,0.96
7,2.78,7.01,1900-01-01 08:33:25,08:33:58,4,1,33,1,20,513,1,4.0,3.47,4.333333333333333,3.0,11.870503597122303,0.5896969696969696
2,1.75,3.42,1900-01-01 08:34:28,08:35:01,1,1,33,1,20,514,1,7.0,7.01,4.333333333333333,-5.0,18.857142857142858,0.10606060606060606
13,2.02,14.47,1900-01-01 08:34:39,08:35:12,5,1,33,0,35,514,1,2.0,3.42,7.333333333333333,11.0,16.336633663366335,0.7957575757575758
11,1.81,9.32,1900-01-01 08:35:37,08:36:10,2,1,33,0,35,515,1,13.0,14.47,8.666666666666666,-2.0,18.23204419889503,0.6033333333333333
3,6.67,3.18,1900-01-01 08:35:48,08:36:21,3,1,33,2,30,515,1,11.0,9.32,9.0,-8.0,4.94752623688156,0.6063636363636363
0,0.0,2.81,1900-01-01 08:35:57,08:36:30,4,1,33,1,20,515,1,3.0,3.18,4.666666666666667,-3.0,33.0,0.0
4,2.08,6.27,1900-01-01 08:37:00,08:37:33,1,1,33,1,20,517,1,0.0,2.81,2.3333333333333335,4.0,15.865384615384615,0.25212121212121213
5,3.17,7.07,1900-01-01 08:37:11,08:37:44,5,1,33,1,20,517,1,4.0,6.27,3.0,1.0,10.410094637223976,0.48030303030303023
5,4.85,3.88,1900-01-01 08:38:09,08:38:42,2,1,33,1,20,518,1,5.0,7.07,4.666666666666667,0.0,6.804123711340207,0.7348484848484848
11,2.71,9.85,1900-01-01 08:38:20,08:38:53,3,1,33,0,35,518,1,5.0,3.88,7.0,6.0,12.177121771217712,0.9033333333333334
5,2.44,6.07,1900-01-01 08:38:29,08:39:02,4,1,33,1,20,518,1,11.0,9.85,7.0,-6.0,13.524590163934427,0.3696969696969697
7,4.26,8.09,1900-01-01 08:39:32,08:40:05,1,1,33,1,20,519,1,5.0,6.07,7.666666666666667,2.0,7.746478873239437,0.9036363636363636
5,3.33,4.5,1900-01-01 08:39:43,08:40:16,5,1,33,1,20,519,1,7.0,8.09,5.666666666666667,-2.0,9.90990990990991,0.5045454545454545
1,0.0,0.86,1900-01-01 08:40:41,08:41:14,2,1,33,1,20,520,1,5.0,4.5,4.333333333333333,-4.0,33.0,0.030303030303030304
3,10.92,5.29,1900-01-01 08:40:52,08:41:25,3,1,33,2,30,520,1,1.0,0.86,3.0,2.0,3.021978021978022,0.9927272727272728
9,1.93,9.61,1900-01-01 08:41:01,08:41:34,4,1,33,0,35,521,1,3.0,5.29,4.333333333333333,6.0,17.098445595854923,0.5263636363636364
3,3.62,6.9,1900-01-01 08:42:04,08:42:37,1,1,33,1,20,522,1,9.0,9.61,5.0,-6.0,9.116022099447514,0.3290909090909091
4,1.94,4.06,1900-01-01 08:42:15,08:42:48,5,1,33,1,20,522,1,3.0,6.9,5.333333333333333,1.0,17.010309278350515,0.23515151515151514
7,1.28,5.84,1900-01-01 08:43:13,08:43:46,2,1,33,1,20,523,1,4.0,4.06,4.666666666666667,3.0,25.78125,0.27151515151515154
4,8.92,5.33,1900-01-01 08:43:24,08:43:57,3,1,33,2,30,523,1,7.0,5.84,5.0,-3.0,3.6995515695067267,1.081212121212121
8,3.73,7.83,1900-01-01 08:43:33,08:44:06,4,1,33,1,20,523,1,4.0,5.33,6.333333333333333,4.0,8.847184986595174,0.9042424242424243
7,3.89,12.79,1900-01-01 08:44:36,08:45:09,1,1,33,0,35,524,1,8.0,7.83,6.333333333333333,-1.0,8.483290488431876,0.8251515151515152
5,1.56,5.32,1900-01-01 08:44:47,08:45:20,5,1,33,1,20,524,1,7.0,12.79,6.666666666666667,-2.0,21.153846153846153,0.23636363636363636
3,1.29,2.18,1900-01-01 08:45:45,08:46:18,2,1,33,1,20,525,1,5.0,5.32,5.0,-2.0,25.58139534883721,0.11727272727272728
4,4.36,7.82,1900-01-01 08:45:56,08:46:29,3,1,33,1,20,525,1,3.0,2.18,4.0,1.0,7.568807339449541,0.5284848484848486
8,3.2,7.0,1900-01-01 08:46:05,08:46:38,4,1,33,1,20,526,1,4.0,7.82,5.0,4.0,10.3125,0.7757575757575758
2,2.42,3.69,1900-01-01 08:47:08,08:47:41,1,1,33,1,20,527,1,8.0,7.0,4.666666666666667,-6.0,13.636363636363637,0.14666666666666667
4,1.08,2.35,1900-01-01 08:47:19,08:47:52,5,1,33,1,20,527,1,2.0,3.69,4.666666666666667,2.0,30.555555555555554,0.13090909090909092
3,1.08,1.78,1900-01-01 08:48:17,08:48:50,2,1,33,1,20,528,1,4.0,2.35,3.0,-1.0,30.555555555555554,0.09818181818181819
7,2.99,9.07,1900-01-01 08:48:28,08:49:01,3,1,33,1,20,528,1,3.0,1.78,4.666666666666667,4.0,11.036789297658862,0.6342424242424243
3,12.46,8.62,1900-01-01 08:48:37,08:49:10,4,1,33,2,37,528,1,7.0,9.07,4.333333333333333,-4.0,2.6484751203852324,1.1327272727272728
1,0.0,2.31,1900-01-01 08:49:40,08:50:13,1,1,33,1,20,529,1,3.0,8.62,3.6666666666666665,-2.0,33.0,0.030303030303030304
9,1.5,9.75,1900-01-01 08:49:51,08:50:24,5,1,33,0,35,529,1,1.0,2.31,4.333333333333333,8.0,22.0,0.4090909090909091
2,2.75,3.83,1900-01-01 08:50:49,08:51:22,2,1,33,1,20,530,1,9.0,9.75,4.0,-7.0,12.0,0.16666666666666666
8,1.96,6.72,1900-01-01 08:51:00,08:51:33,3,1,33,1,20,531,1,2.0,3.83,6.333333333333333,6.0,16.836734693877553,0.4751515151515151
6,1.42,5.5,1900-01-01 08:51:09,08:51:42,4,1,33,1,20,531,1,8.0,6.72,5.333333333333333,-2.0,23.23943661971831,0.2581818181818182
7,2.14,9.72,1900-01-01 08:52:12,08:52:45,1,1,33,1,20,532,1,6.0,5.5,7.0,1.0,15.42056074766355,0.453939393939394
5,1.19,5.43,1900-01-01 08:52:23,08:52:56,5,1,33,1,20,532,1,7.0,9.72,6.0,-2.0,27.73109243697479,0.1803030303030303
4,2.28,2.06,1900-01-01 08:53:21,08:53:54,2,1,33,1,20,533,1,5.0,5.43,5.333333333333333,-1.0,14.473684210526317,0.27636363636363637
3,7.12,6.67,1900-01-01 08:53:32,08:54:05,3,1,33,2,21,533,1,4.0,2.06,4.0,-1.0,4.634831460674158,0.6472727272727272
1,0.0,0.73,1900-01-01 08:53:41,08:54:14,4,1,33,1,20,533,1,3.0,6.67,2.6666666666666665,-2.0,33.0,0.030303030303030304
1,0.0,1.2,1900-01-01 08:54:44,08:55:17,1,1,33,1,20,534,1,1.0,0.73,1.6666666666666667,0.0,33.0,0.030303030303030304
10,2.59,14.73,1900-01-01 08:54:55,08:55:28,5,1,33,0,35,534,1,1.0,1.2,4.0,9.0,12.741312741312742,0.7848484848484848
2,3.92,1.3,1900-01-01 08:55:53,08:56:26,2,1,33,1,20,535,1,10.0,14.73,4.333333333333333,-8.0,8.418367346938776,0.23757575757575755
7,3.99,9.94,1900-01-01 08:56:04,08:56:37,3,1,33,1,20,536,1,2.0,1.3,6.333333333333333,5.0,8.270676691729323,0.8463636363636364
9,2.58,10.24,1900-01-01 08:56:13,08:56:46,4,1,33,0,35,536,1,7.0,9.94,6.0,2.0,12.790697674418604,0.7036363636363636
7,3.89,9.47,1900-01-01 08:57:16,08:57:49,1,1,33,1,20,537,1,9.0,10.24,7.666666666666667,-2.0,8.483290488431876,0.8251515151515152
7,3.38,6.92,1900-01-01 08:57:27,08:58:00,5,1,33,1,20,537,1,7.0,9.47,7.666666666666667,0.0,9.763313609467456,0.7169696969696969
8,1.67,5.54,1900-01-01 08:58:25,08:58:58,2,1,33,1,20,538,1,7.0,6.92,7.333333333333333,1.0,19.76047904191617,0.4048484848484848
2,2.25,5.56,1900-01-01 08:58:36,08:59:09,3,1,33,1,20,538,1,8.0,5.54,5.666666666666667,-6.0,14.666666666666666,0.13636363636363638
14,1.17,14.34,1900-01-01 08:58:45,08:59:18,4,1,33,0,35,538,1,2.0,5.56,8.0,12.0,28.205128205128208,0.49636363636363634
6,3.53,7.49,1900-01-01 08:59:48,09:00:21,1,1,33,1,20,539,1,14.0,14.34,7.333333333333333,-8.0,9.34844192634561,0.6418181818181818
8,1.77,10.43,1900-01-01 08:59:59,09:00:32,5,1,33,0,35,539,1,6.0,7.49,9.333333333333334,2.0,18.64406779661017,0.4290909090909091
5,2.69,7.36,1900-01-01 09:00:57,09:01:30,2,1,33,1,20,540,1,8.0,10.43,6.333333333333333,-3.0,12.267657992565056,0.4075757575757576
7,3.36,10.08,1900-01-01 09:01:08,09:01:41,3,1,33,1,20,541,1,5.0,7.36,6.666666666666667,2.0,9.821428571428571,0.7127272727272728
2,0.08,1.33,1900-01-01 09:01:17,09:01:50,4,1,33,1,20,541,1,7.0,10.08,4.666666666666667,-5.0,412.5,0.0048484848484848485
2,14.42,2.75,1900-01-01 09:02:20,09:02:53,1,1,33,2,28,542,1,2.0,1.33,3.6666666666666665,0.0,2.2884882108183078,0.873939393939394
6,4.2,6.51,1900-01-01 09:02:31,09:03:04,5,1,33,1,20,542,1,2.0,2.75,3.3333333333333335,4.0,7.857142857142857,0.7636363636363637
3,1.04,3.4,1900-01-01 09:03:29,09:04:02,2,1,33,1,20,543,1,6.0,6.51,3.6666666666666665,-3.0,31.73076923076923,0.09454545454545454
5,2.33,6.55,1900-01-01 09:03:40,09:04:13,3,1,33,1,20,543,1,3.0,3.4,4.666666666666667,2.0,14.163090128755364,0.353030303030303
8,1.46,11.86,1900-01-01 09:03:49,09:04:22,4,1,33,0,35,543,1,5.0,6.55,5.333333333333333,3.0,22.602739726027398,0.35393939393939394
6,1.83,8.23,1900-01-01 09:04:52,09:05:25,1,1,33,1,20,544,1,8.0,11.86,6.333333333333333,-2.0,18.0327868852459,0.33272727272727276
6,3.33,11.3,1900-01-01 09:05:03,09:05:36,5,1,33,1,20,545,1,6.0,8.23,6.666666666666667,0.0,9.90990990990991,0.6054545454545455
3,4.62,6.3,1900-01-01 09:06:01,09:06:34,2,1,33,1,20,546,1,6.0,11.3,5.0,-3.0,7.142857142857142,0.42000000000000004
3,5.29,3.62,1900-01-01 09:06:12,09:06:45,3,1,33,1,20,546,1,3.0,6.3,4.0,0.0,6.238185255198488,0.4809090909090909
3,2.67,2.73,1900-01-01 09:06:21,09:06:54,4,1,33,1,20,546,1,3.0,3.62,3.0,0.0,12.359550561797754,0.2427272727272727
5,2.73,3.47,1900-01-01 09:07:24,09:07:57,1,1,33,1,20,547,1,3.0,2.73,3.6666666666666665,2.0,12.087912087912088,0.41363636363636364
5,2.85,7.61,1900-01-01 09:07:35,09:08:08,5,1,33,1,20,547,1,5.0,3.47,4.333333333333333,0.0,11.578947368421053,0.4318181818181818
11,2.48,8.67,1900-01-01 09:08:33,09:09:06,2,1,33,0,35,548,1,5.0,7.61,7.0,6.0,13.306451612903226,0.8266666666666667
3,5.0,4.13,1900-01-01 09:08:44,09:09:17,3,1,33,1,20,548,1,11.0,8.67,6.333333333333333,-8.0,6.6,0.4545454545454546
3,10.88,1.86,1900-01-01 09:08:53,09:09:26,4,1,33,2,32,548,1,3.0,4.13,5.666666666666667,0.0,3.0330882352941173,0.9890909090909092
10,2.72,18.67,1900-01-01 09:09:56,09:10:29,1,1,33,0,35,549,1,3.0,1.86,5.333333333333333,7.0,12.13235294117647,0.8242424242424243
4,1.36,4.67,1900-01-01 09:10:07,09:10:40,5,1,33,1,20,550,1,10.0,18.67,5.666666666666667,-6.0,24.26470588235294,0.16484848484848486
3,3.17,2.12,1900-01-01 09:11:05,09:11:38,2,1,33,1,20,551,1,4.0,4.67,5.666666666666667,-1.0,10.410094637223976,0.28818181818181815
10,2.31,11.82,1900-01-01 09:11:16,09:11:49,3,1,33,0,35,551,1,3.0,2.12,5.666666666666667,7.0,14.285714285714285,0.7000000000000001
6,1.25,7.05,1900-01-01 09:11:25,09:11:58,4,1,33,1,20,551,1,10.0,11.82,6.333333333333333,-4.0,26.4,0.2272727272727273
3,1.29,4.11,1900-01-01 09:12:28,09:13:01,1,1,33,1,20,552,1,6.0,7.05,6.333333333333333,-3.0,25.58139534883721,0.11727272727272728
4,1.75,6.2,1900-01-01 09:12:39,09:13:12,5,1,33,1,20,552,1,3.0,4.11,4.333333333333333,1.0,18.857142857142858,0.21212121212121213
8,1.26,4.44,1900-01-01 09:13:37,09:14:10,2,1,33,1,20,553,1,4.0,6.2,5.0,4.0,26.19047619047619,0.3054545454545455
4,3.06,7.13,1900-01-01 09:13:48,09:14:21,3,1,33,1,20,553,1,8.0,4.44,5.333333333333333,-4.0,10.784313725490195,0.37090909090909097
7,1.9,10.84,1900-01-01 09:13:57,09:14:30,4,1,33,1,20,553,1,4.0,7.13,6.333333333333333,3.0,17.36842105263158,0.403030303030303
7,2.82,6.52,1900-01-01 09:15:00,09:15:33,1,1,33,1,20,555,1,7.0,10.84,6.0,0.0,11.702127659574469,0.5981818181818181
4,2.67,3.79,1900-01-01 09:15:11,09:15:44,5,1,33,1,20,555,1,7.0,6.52,6.0,-3.0,12.359550561797754,0.3236363636363636
9,1.58,7.13,1900-01-01 09:16:09,09:16:42,2,1,33,0,35,556,1,4.0,3.79,6.666666666666667,5.0,20.886075949367086,0.43090909090909096
3,8.25,4.42,1900-01-01 09:16:20,09:16:53,3,1,33,2,40,556,1,9.0,7.13,5.333333333333333,-6.0,4.0,0.75
2,0.67,2.59,1900-01-01 09:16:29,09:17:02,4,1,33,1,20,556,1,3.0,4.42,4.666666666666667,-1.0,49.253731343283576,0.04060606060606061
10,2.9,10.04,1900-01-01 09:17:32,09:18:05,1,1,33,0,35,557,1,2.0,2.59,5.0,8.0,11.379310344827587,0.8787878787878787
2,1.5,1.91,1900-01-01 09:17:43,09:18:16,5,1,33,1,20,557,1,10.0,10.04,4.666666666666667,-8.0,22.0,0.09090909090909091
6,2.33,6.41,1900-01-01 09:18:41,09:19:14,2,1,33,1,20,558,1,2.0,1.91,6.0,4.0,14.163090128755364,0.42363636363636364
5,2.75,14.34,1900-01-01 09:18:52,09:19:25,3,1,33,1,35,558,1,6.0,6.41,4.333333333333333,-1.0,12.0,0.4166666666666667
2,0.17,2.35,1900-01-01 09:19:01,09:19:34,4,1,33,1,20,559,1,5.0,14.34,4.333333333333333,-3.0,194.1176470588235,0.010303030303030303
7,1.86,8.91,1900-01-01 09:20:04,09:20:37,1,1,33,1,20,560,1,2.0,2.35,4.666666666666667,5.0,17.741935483870968,0.39454545454545453
8,2.07,14.94,1900-01-01 09:20:15,09:20:48,5,1,33,0,35,560,1,7.0,8.91,5.666666666666667,1.0,15.942028985507248,0.5018181818181817
2,20.0,1.0,1900-01-01 09:21:13,09:21:46,2,1,33,2,39,561,1,8.0,14.94,5.666666666666667,-6.0,1.65,1.2121212121212122
0,0.0,0.85,1900-01-01 09:21:24,09:21:57,3,1,33,1,35,561,1,2.0,1.0,3.3333333333333335,-2.0,33.0,0.0
3,3.83,2.88,1900-01-01 09:21:33,09:22:06,4,1,33,1,20,561,1,0.0,0.85,1.6666666666666667,3.0,8.616187989556135,0.3481818181818182
6,2.58,5.87,1900-01-01 09:22:36,09:23:09,1,1,33,1,20,562,1,3.0,2.88,3.0,3.0,12.790697674418604,0.4690909090909091
5,1.38,5.39,1900-01-01 09:22:47,09:23:20,5,1,33,1,20,562,1,6.0,5.87,4.666666666666667,-1.0,23.91304347826087,0.20909090909090908
2,5.5,1.11,1900-01-01 09:23:45,09:24:18,2,1,33,1,20,563,1,5.0,5.39,4.333333333333333,-3.0,6.0,0.3333333333333333
1,0.0,1.78,1900-01-01 09:23:56,09:24:29,3,1,33,1,35,563,1,2.0,1.11,2.6666666666666665,-1.0,33.0,0.030303030303030304
4,2.03,4.04,1900-01-01 09:24:05,09:24:38,4,1,33,1,20,564,1,1.0,1.78,2.3333333333333335,3.0,16.256157635467982,0.24606060606060604
10,2.46,13.34,1900-01-01 09:25:08,09:25:41,1,1,33,0,35,565,1,4.0,4.04,5.0,6.0,13.414634146341463,0.7454545454545455
1,0.0,2.75,1900-01-01 09:25:19,09:25:52,5,1,33,1,20,565,1,10.0,13.34,5.0,-9.0,33.0,0.030303030303030304
4,3.03,1.8,1900-01-01 09:26:17,09:26:50,2,1,33,1,20,566,1,1.0,2.75,5.0,3.0,10.891089108910892,0.36727272727272725
1,0.0,3.84,1900-01-01 09:26:28,09:27:01,3,1,33,1,35,566,1,4.0,1.8,2.0,-3.0,33.0,0.030303030303030304
5,0.75,6.06,1900-01-01 09:26:37,09:27:10,4,1,33,1,20,566,1,1.0,3.84,3.3333333333333335,4.0,44.0,0.11363636363636363
